,reserves,inflation,debt
2020-02-29,5663994385.32784,6.15394508391738,73.5126591624451
2020-03-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-04-30,5663994385.32784,6.15394508391738,73.5126591624451
2020-05-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-06-30,5663994385.32784,6.15394508391738,73.5126591624451
2020-07-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-08-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-09-30,5663994385.32784,6.15394508391738,73.5126591624451
2020-10-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-11-30,5663994385.32784,6.15394508391738,73.5126591624451
2020-12-31,5663994385.32784,6.15394508391738,73.5126591624451
2021-01-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-02-28,3136991506.34787,7.01478071238195,73.5126591624451
2021-03-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-04-30,3136991506.34787,7.01478071238195,73.5126591624451
2021-05-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-06-30,3136991506.34787,7.01478071238195,73.5126591624451
2021-07-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-08-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-09-30,3136991506.34787,7.01478071238195,73.5126591624451
2021-10-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-11-30,3136991506.34787,7.01478071238195,73.5126591624451
2021-12-31,3136991506.34787,7.01478071238195,73.5126591624451
2022-01-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-02-28,1896231717.15846,49.7211021114327,73.5126591624451
2022-03-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-04-30,1896231717.15846,49.7211021114327,73.5126591624451
2022-05-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-06-30,1896231717.15846,49.7211021114327,73.5126591624451
2022-07-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-08-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-09-30,1896231717.15846,49.7211021114327,73.5126591624451
2022-10-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-11-30,1896231717.15846,49.7211021114327,73.5126591624451
2022-12-31,1896231717.15846,49.7211021114327,73.5126591624451
2023-01-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-02-28,4405117005.00662,16.5411742279832,73.5126591624451
2023-03-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-04-30,4405117005.00662,16.5411742279832,73.5126591624451
2023-05-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-06-30,4405117005.00662,16.5411742279832,73.5126591624451
2023-07-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-08-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-09-30,4405117005.00662,16.5411742279832,73.5126591624451
2023-10-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-11-30,4405117005.00662,16.5411742279832,73.5126591624451
2023-12-31,4405117005.00662,16.5411742279832,73.5126591624451
2024-01-31,6093946546.37437,-0.42936004906973,73.5126591624451
